Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,870,480687.49999999994,197999.0,0.5,In-store
Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,700,357500.0,114999.28,0.3,In-store
Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,625,233750.0,80080.00000000004,0.35,In-store
Foot Locker,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,500,200000.0,72000.0,0.35,In-store
Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,In-store
Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,675,399299.44000000006,125000.0,0.25,In-store
Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,870,480687.49999999994,197999.0,0.5,In-store
Foot Locker,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,700,357500.0,114999.28,0.3,Outlet
Foot Locker,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,625,233750.0,80080.00000000004,0.35,Outlet
Foot Locker,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,500,200000.0,72000.0,0.35,Outlet
Foot Locker,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,Outlet
Foot Locker,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,675,399299.44000000006,125000.0,0.25,Outlet
Foot Locker,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,870,480687.49999999994,197999.0,0.5,Outlet
Foot Locker,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,700,357500.0,114999.28,0.3,Outlet
Foot Locker,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,625,233750.0,80080.00000000004,0.35,Outlet
Foot Locker,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,500,200000.0,72000.0,0.35,Outlet
Foot Locker,2020-01-29,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,Outlet
Foot Locker,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,675,399299.44000000006,118750.0,0.25,Outlet
Foot Locker,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,870,480687.49999999994,197999.0,0.5,Outlet
Foot Locker,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,700,357500.0,114999.28,0.3,Outlet
Foot Locker,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,625,233750.0,80080.00000000004,0.35,Outlet
Foot Locker,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,500,200000.0,72000.0,0.35,Outlet
Foot Locker,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,Outlet
Foot Locker,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,675,399299.44000000006,118750.0,0.25,Outlet
Foot Locker,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,870,480687.49999999994,197999.0,0.5,Outlet
Foot Locker,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.0,700,357500.0,114999.28,0.3,Outlet
Foot Locker,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,625,233750.0,80080.00000000004,0.35,Outlet
Foot Locker,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,500,200000.0,72000.0,0.35,Outlet
Foot Locker,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,425,227500.0,78750.0,0.3,Outlet
Foot Locker,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,675,399299.44000000006,140770.0,0.25,Outlet
Foot Locker,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,870,480687.49999999994,197999.0,0.5,Outlet
