Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Log_Total_Sales,Log_Units_Sold,Log_Operating_Profit,Log_Operating_Margin,Log_Price_per_Unit
Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50,838.0,441491.0,152344.0,0.5,In-store,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.48467654773873725
Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50,838.0,441491.0,150000.0,0.3,In-store,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,0.48467654773873725
Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40,838.0,400000.0,137865.625,0.35,In-store,1.5914443781938403,1.7434526876163379,1.599006262088058,-0.7837209371518269,-0.2299284184949977
Foot Locker,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45,687.5,342687.5,114075.875,0.35,In-store,1.5676072459203234,1.7434526876163379,1.5737113681555042,-0.7837209371518269,0.14683112786611158
Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,In-store,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.070915561936916
Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,50,838.0,441491.0,125000.0,0.25,In-store,1.5997056498846485,1.7434526876163379,1.5349271504896713,-1.9932554808937553,0.48467654773873725
Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50,838.0,441491.0,152344.0,0.5,In-store,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.48467654773873725
Foot Locker,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50,838.0,441491.0,135000.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.5784430040164001,-1.3768551998063734,0.48467654773873725
Foot Locker,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40,838.0,380000.0,133000.0,0.35,Outlet,1.564113192255167,1.7434526876163379,1.5700036358253824,-0.7837209371518269,-0.2299284184949977
Foot Locker,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45,687.5,342687.5,114075.875,0.35,Outlet,1.551700355475021,1.7434526876163379,1.5568295178726663,-0.7837209371518269,0.14683112786611158
Foot Locker,2020-01-23,Northeast,New York,New York,Men's Apparel,60,618.25,383759.875,122565.625,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,-1.3768551998063734,1.070915561936916
Foot Locker,2020-01-24,Northeast,New York,New York,Women's Apparel,50,838.0,441491.0,125000.0,0.25,Outlet,1.5997056498846485,1.7434526876163379,1.5349271504896713,-1.9932554808937553,0.48467654773873725
Foot Locker,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50,838.0,441491.0,152344.0,0.5,Outlet,1.5997056498846485,1.7434526876163379,1.6332850887971198,0.8721452173768379,0.48467654773873725
Foot Locker,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50,838.0,441491.0,138750.0,0.3,Outlet,1.5997056498846485,1.7434526876163379,1.5939351309234893,-1.3768551998063734,0.48467654773873725
Foot Locker,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40,838.0,380000.0,133000.0,0.35,Outlet,1.564113192255167,1.7434526876163379,1.5700036358253824,-0.7837209371518269,-0.2299284184949977
